,cookie,time,interaction,conversion,conversion_value,channel
0,00000FkCnDfDDf0iC97iC703B,2018-07-03T13:02:11Z,impression,0,0.0,Instagram
1,00000FkCnDfDDf0iC97iC703B,2018-07-17T19:15:07Z,impression,0,0.0,Online Display
2,00000FkCnDfDDf0iC97iC703B,2018-07-24T15:51:46Z,impression,0,0.0,Online Display
3,00000FkCnDfDDf0iC97iC703B,2018-07-29T07:44:51Z,impression,0,0.0,Online Display
4,0000nACkD9nFkBBDECD3ki00E,2018-07-03T09:44:57Z,impression,0,0.0,Paid Search
5,0000nACkD9nFkBBDECD3ki00E,2018-07-03T23:36:49Z,impression,0,0.0,Paid Search
6,0000nACkD9nFkBBDECD3ki00E,2018-07-10T22:24:41Z,impression,0,0.0,Paid Search
7,0000nACkD9nFkBBDECD3ki00E,2018-07-10T22:24:44Z,impression,0,0.0,Paid Search
8,0000nACkD9nFkBBDECD3ki00E,2018-07-11T21:21:46Z,impression,0,0.0,Paid Search
9,0000nACkD9nFkBBDECD3ki00E,2018-07-11T22:19:53Z,impression,0,0.0,Paid Search
10,0003EfE37E93D0BC03iBhBBhF,2018-07-08T10:48:21Z,impression,0,0.0,Paid Search
11,0003EfE37E93D0BC03iBhBBhF,2018-07-09T13:06:42Z,impression,0,0.0,Paid Search
12,0003EfE37E93D0BC03iBhBBhF,2018-07-10T13:02:36Z,impression,0,0.0,Paid Search
13,0003EfE37E93D0BC03iBhBBhF,2018-07-10T14:04:14Z,impression,0,0.0,Paid Search
14,0003EfE37E93D0BC03iBhBBhF,2018-07-12T10:34:38Z,impression,0,0.0,Paid Search
15,00073CFE3FoFCn70fBhB3kfon,2018-07-21T10:52:04Z,impression,0,0.0,Instagram
16,00079hhBkDF3k3kDkiFi9EFAD,2018-07-10T11:11:24Z,impression,0,0.0,Paid Search
17,0007iiAiFh3ifoo9Ehn3ABB0F,2018-07-09T16:57:18Z,impression,0,0.0,Instagram
18,0007iiAiFh3ifoo9Ehn3ABB0F,2018-07-17T16:00:58Z,impression,0,0.0,Facebook
19,0007iiAiFh3ifoo9Ehn3ABB0F,2018-07-17T16:01:44Z,impression,0,0.0,Facebook
20,0007iiAiFh3ifoo9Ehn3ABB0F,2018-07-18T17:17:24Z,impression,0,0.0,Instagram
21,0007o0nfoh9o79DDfD7DAiEnE,2018-07-12T08:07:08Z,impression,0,0.0,Facebook
22,0007oEBhnoF97AoEE3BCkFnhB,2018-07-06T13:45:29Z,conversion,1,6.5,Paid Search
23,00090n9EBBEkA000C7Cik999D,2018-07-05T06:53:53Z,conversion,1,8.0,Facebook
24,000A9AfDohfiBAFB0FDf3kDEE,2018-07-24T00:09:46Z,impression,0,0.0,Online Video
25,000A9AfDohfiBAFB0FDf3kDEE,2018-07-27T21:08:17Z,impression,0,0.0,Online Video
26,000A9AfDohfiBAFB0FDf3kDEE,2018-07-27T22:36:07Z,impression,0,0.0,Online Video
27,000A9AfDohfiBAFB0FDf3kDEE,2018-07-28T16:33:01Z,impression,0,0.0,Online Video
28,000A9AfDohfiBAFB0FDf3kDEE,2018-07-29T21:21:25Z,impression,0,0.0,Online Video
29,000ADEAB7fBin9fEoFFnAohi9,2018-07-12T13:05:27Z,impression,0,0.0,Online Display
